date_time,meta_bin
2023-09-26 17:00:00,0
2023-10-03 17:00:00,0
2023-10-06 17:00:00,0
2023-10-11 17:00:00,1
2023-10-18 17:00:00,1
2023-10-20 17:00:00,1
2023-10-25 17:00:00,1
2023-10-27 17:00:00,0
2023-10-31 17:00:00,0
2023-11-02 17:00:00,0
2023-11-07 17:00:00,0
2023-11-10 17:00:00,1
2023-11-14 17:00:00,1
2023-11-30 17:00:00,0
2023-12-11 17:00:00,1
2023-12-13 17:00:00,1
2023-12-20 17:00:00,1
2023-12-26 17:00:00,0
2024-01-03 17:00:00,1
2024-01-08 17:00:00,0
2024-01-19 17:00:00,1
2024-01-29 17:00:00,0
2024-01-31 17:00:00,1
2024-02-02 17:00:00,1
2024-02-09 17:00:00,0
2024-02-13 17:00:00,1
2024-02-15 17:00:00,0
2024-02-22 17:00:00,0
2024-03-07 17:00:00,1
2024-03-20 17:00:00,0
2024-04-04 17:00:00,1
2024-04-12 17:00:00,0
2024-04-16 17:00:00,1
2024-04-19 17:00:00,0
2024-04-23 17:00:00,0
2024-04-30 17:00:00,0
2024-05-03 17:00:00,0
2024-05-09 17:00:00,0
2024-05-15 17:00:00,0
2024-05-30 17:00:00,1
2024-06-05 17:00:00,1
2024-06-12 17:00:00,1
2024-07-02 17:00:00,1
2024-07-10 17:00:00,0
2024-07-16 17:00:00,0
2024-07-17 17:00:00,0
2024-07-19 17:00:00,1
2024-07-24 17:00:00,1
2024-07-31 17:00:00,1
2024-08-01 17:00:00,1
2024-08-02 17:00:00,1
2024-08-05 17:00:00,0
2024-08-08 17:00:00,0
2024-08-13 17:00:00,0
2024-08-15 17:00:00,0
2024-08-21 17:00:00,1
2024-09-03 17:00:00,0
2024-09-06 17:00:00,1
2024-09-10 17:00:00,1
2024-09-12 17:00:00,1
2024-09-19 17:00:00,1
2024-10-09 17:00:00,1
2024-10-14 17:00:00,0
2024-10-31 17:00:00,1
2024-11-06 17:00:00,0
2024-11-15 17:00:00,1
2024-11-22 17:00:00,1
2024-12-04 17:00:00,0
2024-12-18 17:00:00,1
2024-12-23 17:00:00,1
2024-12-30 17:00:00,0
2025-01-06 17:00:00,1
2025-01-10 17:00:00,0
2025-01-15 17:00:00,0
2025-01-21 17:00:00,1
2025-01-27 17:00:00,0
2025-02-03 17:00:00,1
